Sequence,Food,Quantity,Portion,Output,UOM,Calories,Carbohydrate,Protein,Fat,Fibre,Calcium,Potassium,Sodium,Iron,Type,Breakfast,Lunch,Dinner,Morning Snack,Tea Time Snack,Evening Snack,Bed Time,Pre Training,Pre Workout,During Training,During Workout,Post Training,Post Workout,On Waking up,Beverage,GL,LACT,MLK,HYP,PE,SF,TNT,WHE,SOY,EGG,Vegan,Vegetarian,Eggetarian,Piscetarian,Non Vegetarian,IsActive,Food Source,id
61,Optimum Nutrition Gold Standard 100% Isolate (Chocolate bliss),1 Scoop,1,1,Scoop,112,1,25,0.5,0,,,,,,1,1,1,,,,,,,,,1,1,,,,1,1,1,,,,1,1,,1,,,,,1,http://tinyurl.com/4fzby45d,61
62,Protyze Anytime Clear Whey Protein Isolate,24g,1,1,Scoop,110,1,24,0,0,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,https://rb.gy/xkvplz,62
63,Joy layer vegan protein powder,3,1,3,scoops ,130,4.4,26,0.94,1.2,,,,,,1,,,1,,1,,1,1,1,,1,1,,,,,,,,,,,,,1,,,,,1,http://tinyurl.com/3w9pr97t,63
64,Whole Truth Light cocoa 24g,1 scoop ,1,1,scoop,138.8,6.4,24.9,1.5,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,1,,,,,1,,64
65,Tofu Cubes,2 cubes,1,2,cubes,44,0.8,6,2.8,0.8,111,,,,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,1,,1,,,,,1,Healthifyme,65
66,Greek Yogurt (Chobani - Non Fat Plain),100gm,1,100,gm,40,6,6,0,0,,,,,,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,1,,,,,1,walmart site,66
67,Herman Brot High Protein Low Carb Wraps,1g,1,1,wrap,158,10.7,16,3.9,5.1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,http://tinyurl.com/2vx74nyx,67
68,Edamame Salad,100g,1,100,g,79,8.9,6.2,2.5,4.1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,,,,,1,healthifyme,68
69,Butter Beans (Boiled),100g,1,100,g,115,21,8,0,7,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,Healthifyme,69
70,Soyabean curry,100,1,100,g,91,5,6.6,5,3.9,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,healthifyme ,70
71,Carrot and cabbage salad ,100,1,100,g,40,8.4,1.2,0.2,3.8,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,healthifyme ,71
72,Roasted Edamame (Unsalted),100g,1,100,g,420,34,36,15,9,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,1,healthifyme ,72
73,Soya Chunks Subzi,100,1,100,g,101,10.1,7.1,4,3.3,68.4,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,1,,1,,,,,1,Healthifyme,73
74,Green peas soup,100,1,100,ml,66,7.9,3.3,2.4,4,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,healthifyme ,74
75,Masoor dal Curry,100 gm,1,100,gm,85,13,5.3,1.3,3.8,,,,,,1,1,1,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,1,Healthifyme,75
76,Vegetable Mushroom stir fry,100,1,100,g,65,5.8,4,4,2.3,31.8,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,76
77,Frozen Mixed Vegetables,100g,1,100,g,71,11.8,3.3,0.3,4.1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,Healthifyme ,77
78,Soy Milk (Bonsoy),100ml,1,100,ml,58,5.5,4.1,2.2,1.4,,,,,,1,,,1,1,1,,,,,,,,,1,,,,1,,,,,1,,1,,,,,1,https://tinyurl.com/3r932hev,78
79,Pasta salad with pan fried tofu ,1,1,100,g,95,4.8,6.8,5.9,1.7,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,,1,,,,,1,From Software,79
80,Moong and Vegetable Soup,100ml,1,100,ml,51,8.2,2.7,0.8,2.1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,Healthifyme,80
81,Sprouts with Pomegranate,100g,1,100,g,53,11.6,2.3,0.6,2.7,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,Healthifyme,81
82,Corn onion beetroot salad,100g,1,100,g,41,9,1.2,0.1,2.8,,,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,,,,,,,,,1,,,,,1,Healthifyme,82
83,Chana curry,1,1,100,g,86,11.7,3.1,3.1,5,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,,,,,1,Kadala curry from software,83
84,Air Fried Chana Tikki,1 tikki,1,1,tikki,77,15,3,0.7,4,,,,,,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,1,,,,,1,Healthifyme,84
85,Air fried Falafel,1 Falafel,1,1,falafel,58,8.7,2.7,1.6,2.4,,,,,,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,1,,,,,1,Healthifyme,85
86,Alpino High Protein Super Oats (Chocolate),100g,1,100,g,451.2,56.1,21,16.3,17.1,,,,,,1,,,1,,1,,1,1,,,,,,,,,,1,1,,,,,,1,,,,,1,https://tinyurl.com/3fezxwjz,86
87,Alsande curry ,100,1,100,g,76,10.7,4.4,1.8,1.6,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,From software ,87
88,Shepu dal (Dal with Dill leaves),100g,1,100,g,76,10,3.8,2.4,2,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,,,,,1,software ,88
89,Moong dal chilla with stuffed vegetables,1,1,1,no,160,21.4,8.55,4.7,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,,,,,1,From Software,89
90,Oats puttu ,100g,1,100,g,159,18.5,4.2,7.6,4.8,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,,,,,1,Healthifyme,90
91,VPA Australia  - Protein Water ,1 Scoop,1,1,Scoop,82,1,20,0.1,0,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,1,,,,,1,,,1,https://tinyurl.com/39xxb85w,91
92,MB Whey Isolate 90% (unflavoured),1 scoop,1,1,scoop,113,0.36,27,0.36,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,,1,https://tinyurl.com/4fr48et4,92
93,Genetix Whey Protein ,1 Scoop,1,1,Scoop,154,2.1,32.1,0.6,3.2,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,1,,,,,1,,,1,https://tinyurl.com/yc5x9t6w,93
94,Whole Truth Light cocoa 24g,1 scoop ,1,1,scoop,138.8,6.4,24.9,1.5,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,1,,,1,,94
95,Cottage cheese,100g,1,100,g,80,4.2,12.9,2.5,0,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,Healthifyme,95
96,Tofu Cubes,2 cubes,1,2,cubes,44,0.8,6,2.8,0.8,111,,,,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,1,,,,1,,,1,Healthifyme,96
97,Greek Yogurt (Chobani - Non Fat Plain),100gm,1,100,gm,40,6,6,0,0,,,,,,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,1,,,1,walmart site,97
98,Herman Brot High Protein Low Carb Wraps,1g,1,1,wrap,158,10.7,16,3.9,5.1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,http://tinyurl.com/2vx74nyx,98
99,Edamame Salad,100g,1,100,g,79,8.9,6.2,2.5,4.1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,,1,healthifyme,99
100,Butter Beans (Boiled),100g,1,100,g,115,21,8,0,7,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,Healthifyme,100
101,Soy Egg (2 Whites + 1 yolk),1,1,1,portion,84,0,9.6,5,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,,,1,,,1,From software,101
102,Omlette (5 egg whites + 1 yolk),1 Portion,1,1,Portion,179,1.7,20.4,9.3,0,,,,,,1,1,1,,,,,,,,,1,1,,,,,,,,,,,,1,,,1,,,1,Healthifyme,102
103,Soyabean curry,100,1,100,g,91,5,6.6,5,3.9,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,healthifyme ,103
104,Carrot and cabbage salad ,100,1,100,g,40,8.4,1.2,0.2,3.8,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,healthifyme ,104
105,Roasted Edamame (Unsalted),100g,1,100,g,420,34,36,15,9,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,1,healthifyme ,105
106,Teriyaki tofu,100 gm,1,100,gm,158,5.5,14,9,2,,,,,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,1,,,,1,,,1,Heallthifyme,106
107,Green peas soup,100,1,100,ml,66,7.9,3.3,2.4,4,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,healthifyme ,107
108,Masoor dal Curry,100 gm,1,100,gm,85,13,5.3,1.3,3.8,,,,,,1,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,1,Healthifyme,108
109,Vegetable Mushroom stir fry,100,1,100,g,65,5.8,4,4,2.3,31.8,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,109
110,Magic Spoon Cereal ,38g ,1,38,g,150,15,13,8,1,,,,,,1,,,,,1,,,,,,,,,,,1,1,,,,,1,,,,,1,,,1,https://tinyurl.com/44nvcv3p,110
111,Baked vegetables,100g,1,100,g,49,9.5,2.2,0.7,2.8,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,Healthifyme,111
112,Masala omlete (3 whites + 1 yolk),1,1,1,omlete,155,2,13.6,9.3,0.4,,,,,,1,1,1,,,1,,,,,,1,1,,,,,,,,,,,,1,,,1,,,1,Healthifyme,112
113,Poached egg (2 whites + 1 Yolk),1 portion,1,1,portion,157,2.3,13.4,10.6,0.7,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,1,Healthifyme,113
114,Baked cheese popper,1 Piece,1,1,Piece,54,1,4.8,3.4,0,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,Healthifyme,114
115,Greek Yogurt (Chobani - Whole Milk Plain),100g,1,100,g,100,4.11,8.8,5.29,,,,,,,1,1,1,1,,1,,,,,,1,1,,,,1,1,,,,,1,,,,,1,,,1,https://tinyurl.com/57c6jnmy,115
116,Soy Egg,1,1,1,Whole,69,0,6,5,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,,,1,,,1,From software,116
117,Low Fat Plain Greek Yogurt (Nada) ,1 pack,1,1,pack,252,18,21.6,7.2,0,,,,,,1,1,1,1,,1,,,,,,1,1,,,,1,1,,,,,1,,,,,1,,,1,https://tinyurl.com/ym68p4ha,117
118,Sprouts with Pomegranate,100g,1,100,g,53,11.6,2.3,0.6,2.7,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,Healthifyme,118
119,Chana curry,1,1,100,g,86,11.7,3.1,3.1,5,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,,1,Kadala curry from software,119
120,Caprese salad,100g,1,100,g,228,2.6,15.4,17.3,0.6,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,,1,healthifyme,120
121,VPA Australia  - Protein Water ,1 Scoop,1,1,Scoop,82,1,20,0.1,0,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,1,,,,,,1,,1,https://tinyurl.com/39xxb85w,121
122,MB Whey Isolate 90% (unflavoured),1 scoop,1,1,scoop,113,0.36,27,0.36,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,,1,https://tinyurl.com/4fr48et4,122
123,Genetix Whey Protein ,1 Scoop,1,1,Scoop,154,2.1,32.1,0.6,3.2,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,1,,,,,,1,,1,https://tinyurl.com/yc5x9t6w,123
124,Whole Truth Light cocoa 24g,1 scoop ,1,1,scoop,138.8,6.4,24.9,1.5,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,1,,1,,124
125,Grilled Prawns,100 gm,1,100,gm,113,1.3,18.3,3.8,0.2,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,1,,,,,,,,1,,1,Healthifyme,125
126,Tuna Fish,100gm,1,100,g,144,0,23.3,4.9,0,,,,,,1,1,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,1,,1,Healthifyme,126
127,Tofu Cubes,2 cubes,1,2,cubes,44,0.8,6,2.8,0.8,111,,,,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,1,,,,,1,,1,Healthifyme,127
128,Basa Fish Fillet,100 g,1,100,g,104,0.7,15.9,3.8,0.1,,,,,,1,1,1,1,,,,1,1,,,1,1,,,,,,,,1,,,,,,,,1,,1,Healthifyme,128
129,Greek Yogurt (Chobani - Non Fat Plain),100gm,1,100,gm,40,6,6,0,0,,,,,,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,1,,1,walmart site,129
130,Avarekaalu Saru ,100,1,100,g,69,5.5,2,4.4,9.5,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,Healthifyme ,130
131,Herman Brot High Protein Low Carb Wraps,1g,1,1,wrap,158,10.7,16,3.9,5.1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,http://tinyurl.com/2vx74nyx,131
132,Edamame Salad,100g,1,100,g,79,8.9,6.2,2.5,4.1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,,1,healthifyme,132
133,Butter Beans (Boiled),100g,1,100,g,115,21,8,0,7,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,Healthifyme,133
134,Tofu scramble,100g,1,100,g,117,5.2,11.6,6.6,2.5,,,,,,1,1,1,,,,,,,,,1,1,,,,,,1,,,,,1,,,,,1,,1,Healthifyme,134
135,Soy Egg (2 Whites + 1 yolk),1,1,1,portion,84,0,9.6,5,0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,,,,1,,1,From software,135
136,Carrot and cabbage salad ,100,1,100,g,40,8.4,1.2,0.2,3.8,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,healthifyme ,136
137,Egg (4 whites + 1 yolk),155g,1,1,portion,162,1.5,16.8,9.3,0,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,1,,,,1,,1,healthifyme,137
138,Roasted Edamame (Unsalted),100g,1,100,g,420,34,36,15,9,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,1,healthifyme ,138
139,Soya Chunks Subzi,100,1,100,g,101,10.1,7.1,4,3.3,68.4,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,1,,,,,1,,1,Healthifyme,139
140,Green peas soup,100,1,100,ml,66,7.9,3.3,2.4,4,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,healthifyme ,140
141,Masoor dal Curry,100 gm,1,100,gm,85,13,5.3,1.3,3.8,,,,,,1,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,1,Healthifyme,141
142,Vegetable Mushroom stir fry,100,1,100,g,65,5.8,4,4,2.3,31.8,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,142
143,Magic Spoon Cereal ,38g ,1,38,g,150,15,13,8,1,,,,,,1,,,,,1,,,,,,,,,,,1,1,,,,,1,,,,,,1,,1,https://tinyurl.com/44nvcv3p,143
144,Soy Milk (Bonsoy),100ml,1,100,ml,58,5.5,4.1,2.2,1.4,,,,,,1,,,1,1,1,,,,,,,,,1,,,,1,,,,,1,,,,,1,,1,https://tinyurl.com/3r932hev,144
